S.No,DNAPass AS Name,Subject coverage,Weighted Score
87,BNCH-Java-Jr-Java Jr Dev Test-grades,0.24,0.192
88,BNCH-Java-Jr-Java Jr Dev Test-grades,0.12,0.1184
89,BNCH-Java-Jr-Java Jr Dev Test-grades,0.28,0.3116
90,BNCH-Java-Jr-Java Jr Dev Test-grades,0.28,0.2077
91,BNCH-Java-Jr-Java Jr Dev Test-grades,0.64,0.5024
92,BNCH-Java-Jr-Java Jr Dev Test-grades,0.2,0.1534
93,BNCH-Java-Jr-Java Jr Dev Test-grades,0.24,0.25
94,BNCH-Java-Jr-Java Jr Dev Test-grades,0.44,0.3998
95,BNCH-Java-Jr-Java Jr Dev Test-grades,0.36,0.3225
96,BNCH-Java-Jr-Java Jr Dev Test-grades,0.36,0.3816
97,BNCH-Java-Jr-Java Jr Dev Test-grades,0.24,0.2379
98,BNCH-Java-Jr-Java Jr Dev Test-grades,0.28,0.2899
99,BNCH-Java-Jr-Java Jr Dev Test-grades,0.32,0.2295
100,BNCH-Java-Jr-Java Jr Dev Test-grades,0.48,0.4348
101,BNCH-Java-Jr-Java Jr Dev Test-grades,0.2,0.1486
102,BNCH-Java-Jr-Java Jr Dev Test-grades,0,0
103,BNCH-Java-Jr-Java Jr Dev Test-grades,0.4,0.401
104,BNCH-Java-Jr-Java Jr Dev Test-grades,0.2,0.2874
105,BNCH-Java-Jr-Java Jr Dev Test-grades,0.36,0.3937
106,BNCH-Java-Jr-Java Jr Dev Test-grades,0.2,0.2415
107,BNCH-Java-Jr-Java Jr Dev Test-grades,0.36,0.3684
108,BNCH-Java-Jr-Java Jr Dev Test-grades,0.48,0.535
109,BNCH-Java-Jr-Java Jr Dev Test-grades,0,0
110,BNCH-Java-Jr-Java Jr Dev Test-grades,0.6,0.5145
111,BNCH-Java-Jr-Java Jr Dev Test-grades,0.4,0.4432
112,BNCH-Java-Jr-Java Jr Dev Test-grades,0.52,0.5193
